Date,Cash,Holdings,Total Assets
2009-01-15,491652.3794837296,333094.56882606447,824746.9483097941
2009-01-16,491505.8567290604,337705.79276277125,829211.6494918317
2009-01-20,491407.587950021,316493.73862840235,807901.3265784234
2009-01-21,491389.66932705045,330375.5855281204,821765.2548551708
2009-01-22,491193.1998946965,324868.51086328924,816061.7107579857
2009-01-23,491085.8769097626,326315.666798085,817401.5437078476
2009-01-26,490862.2729766667,328104.84166793525,818967.1146446019
2009-01-27,490418.93022564054,332878.5713529289,823297.5015785694
2009-01-28,489749.17139808834,347118.5256578326,836867.697055921
2009-01-29,488458.6866918057,334849.2913390994,823307.9780309051
2009-01-30,488017.76680998504,327668.83618199825,815686.6029919833
2009-02-02,487920.40353254974,326663.04246276617,814583.4459953159
2009-02-03,487681.46447615325,331153.7144652605,818835.1789414138
2009-02-04,487207.26344935596,330615.97304689884,817823.2364962548
2009-02-05,486570.68882863224,336344.67352342606,822915.3623520583
2009-02-06,485697.17903368175,346659.27227550745,832356.4513091892
2009-02-09,484754.5483344048,347351.84249663353,832106.3908310384
2009-02-10,484055.74608032405,331230.31218641996,815286.058266744
2009-02-11,484054.64453189075,333323.5194302201,817378.1639621109
2009-02-12,483871.0570012778,334790.96779227257,818662.0247935504
2009-02-13,483660.18965928257,331934.84484672546,815595.034506008
2009-02-17,483528.32685641944,317039.5004928708,800567.8273492903
2009-02-18,483528.32685641944,314604.1118223965,798132.438678816
2009-02-19,483505.34112910926,309955.6528429985,793460.9939721078
2009-02-20,483389.9934962243,308863.684322834,792253.6778190583
2009-02-23,483186.29635874927,297230.7468652725,780417.0432240218
2009-02-24,483175.58800189197,311441.36822369695,794616.9562255889
2009-02-25,482885.5238054246,305359.6461748779,788245.1699803025
2009-02-26,482777.3495796174,299516.36358469725,782293.7131643146
2009-02-27,482658.3257115334,294395.1712425351,777053.4969540685
2009-03-02,482469.2299233526,280436.30156743526,762905.5314907879
2009-03-03,482462.9055901617,279203.1875578761,761666.0931480378
2009-03-04,482274.7824060768,287079.95355683565,769354.7359629124
2009-03-05,482174.4725379795,275505.05809646845,757679.5306344479
2009-03-06,482135.06453083456,274746.9357743263,756882.0003051609
2009-03-09,482060.0238134712,271767.26028111577,753827.284094587
2009-03-10,481911.57637284696,291468.25728060305,773379.83365345
2009-03-11,480435.8507990092,293108.28265947104,773544.1334584802
2009-03-12,479631.9260303229,306781.2102378309,786413.1362681538
2009-03-13,478060.41223423183,310365.4305920154,788425.8428262472
2009-03-16,477105.3525108546,308306.34091056883,785411.6934214234
2009-03-17,476562.1190008372,319324.6325174421,795886.7515182793
2009-03-18,476153.3056832999,329355.74072906375,805509.0464123636
2009-03-19,475978.5290786475,323612.0242693275,799590.553347975
2009-03-20,475905.9753624648,315165.9432334453,791071.9185959101
2009-03-23,475872.43536154926,339988.0134715587,815860.448833108
2009-03-24,475716.6969153136,332647.4257939607,808364.1227092743
2009-03-25,475702.38939635456,336155.25132727623,811857.6407236308
2009-03-26,475670.2269512862,348895.4499871284,824565.6769384146
2009-03-27,475643.5862862319,341491.1633710712,817134.7496573031
2009-03-30,475625.2518555373,328329.2308515012,803954.4827070385
2009-03-31,475603.2768551558,332900.44289939106,808503.7197545469
2009-04-01,475584.00860755146,337424.2607612163,813008.2693687677
2009-04-02,475561.8513569087,350321.4062578678,825883.2576147765
2009-04-03,475137.561251536,355668.84201568365,830806.4032672197
2009-04-06,474927.34804560244,351976.7127330303,826904.0607786328
2009-04-07,474853.19504095614,341437.025862813,816290.2209037691
2009-04-08,474853.19504095614,345664.3321633935,820517.5272043496
2009-04-09,474695.884936586,362782.33617413044,837478.2211107165
2009-04-13,474472.07485701144,363521.2449685931,837993.3198256046
2009-04-14,474273.18473793566,354989.27629727125,829262.4610352069
2009-04-15,474201.91642071307,361133.06171268225,835334.9781333953
2009-04-16,474147.78760029376,369392.27519488335,843540.0627951771
2009-04-17,473332.93614830077,373563.9054891467,846896.8416374475
2009-04-20,473044.13679505885,354874.5430508256,827918.6798458844
2009-04-21,473033.71054269373,365632.4019103646,838666.1124530584
2009-04-22,472917.1295938641,365784.22636556625,838701.3559594303
2009-04-23,472827.1384911686,367806.40693986416,840633.5454310328
2009-04-24,472677.8200996071,376426.9669291377,849104.7870287448
2009-04-27,472076.8298366219,372849.6683831811,844926.498219803
2009-04-28,471647.42861153185,372065.8874127865,843713.3160243183
2009-04-29,471409.4950440079,381763.7591537833,853173.2541977912
2009-04-30,470767.14817787707,383104.9431835413,853872.0913614184
2009-05-01,470353.25642825663,382069.3715801835,852422.6280084401
2009-05-04,469942.774968639,398261.4655176997,868204.2404863387
2009-05-05,468929.9060409218,397803.7207903862,866733.626831308
2009-05-06,468661.5586774498,401970.6525310278,870632.2112084776
2009-05-07,468187.82387425005,393708.74959877133,861896.5734730214
2009-05-08,468029.7367487103,404757.6008798778,872787.3376285881
2009-05-11,467706.89394690096,395976.19031882286,863683.0842657238
2009-05-12,467627.5698015839,393498.89265063405,861126.4624522179
2009-05-13,467533.41066481173,379836.1077597141,847369.5184245259
2009-05-14,467500.00209476054,385138.6934963763,852638.6955911368
2009-05-15,467482.986005798,381372.26221618056,848855.2482219785
2009-05-18,467446.8286380917,394550.55956983566,861997.3882079273
2009-05-19,467242.16445972025,394775.49424529076,862017.658705011
2009-05-20,466986.10857631266,392993.50478720665,859979.6133635193
2009-05-21,466804.53404809535,386590.5783639252,853395.1124120206
2009-05-22,466683.63900853693,386243.8858706355,852927.5248791724
2009-05-26,466654.7768097073,397649.4400474429,864304.2168571502
2009-05-27,466237.46710145473,390093.8793846816,856331.3464861363
2009-05-28,466038.08523261547,394483.2934753895,860521.378708005
2009-05-29,465432.5125826597,401709.8486344516,867142.3612171113
2009-06-01,464877.87772011757,413954.5829189122,878832.4606390297
2009-06-02,463096.0095207691,417664.1859642416,880760.1954850107
2009-06-03,461954.51737213135,412211.6568797827,874166.174251914
2009-06-04,461462.17654919624,417106.4925504476,878568.6690996438
2009-06-05,461061.8673348427,415855.7472345084,876917.6145693511
2009-06-08,460911.6578748226,414423.62692548335,875335.284800306
2009-06-09,460713.8718483448,418289.0124178529,879002.8842661977
2009-06-10,460485.4584057331,415958.1321528554,876443.5905585885
2009-06-11,459851.43139100075,418089.7358953357,877941.1672863364
2009-06-12,459607.79113936424,418803.91410663724,878411.7052460015
2009-06-15,459357.3509786129,409022.8452337086,868380.1962123215
2009-06-16,459328.0405623913,403581.4881376922,862909.5287000835
2009-06-17,459328.0405623913,403985.20584112406,863313.2464035153
2009-06-18,459222.55438399315,406315.4454155266,865537.9997995198
2009-06-19,458859.9901778698,408639.62072366476,867499.6109015346
2009-06-22,458774.6338813305,396398.5498777181,855173.1837590486
2009-06-23,458704.6601321697,396419.08271439373,855123.7428465635
2009-06-24,458698.96124339104,400343.9249177128,859042.8861611038
2009-06-25,458566.75568413734,409212.9579898119,867779.7136739492
2009-06-26,457923.30509614944,409311.3442758918,867234.6493720412
2009-06-29,457523.66431701183,411912.6183242798,869436.2826412916
2009-06-30,456947.14319097996,410110.53761798143,867057.6808089614
2009-07-01,456575.099444747,412367.2134549618,868942.3128997087
2009-07-02,455897.4978567362,401408.05952101946,857305.5573777556
2009-07-06,455857.8696104288,401559.348205328,857417.2178157568
2009-07-07,455702.66564142704,393345.12540555,849047.791046977
2009-07-08,455620.8346172571,391595.98032450676,847216.8149417639
2009-07-09,455362.3267136812,394454.35537695885,849816.6820906401
2009-07-10,455334.93797314167,393630.3996503949,848965.3376235366
2009-07-13,455196.1461960077,403290.25431376696,858486.4005097747
2009-07-14,454305.24290430546,406740.10989147425,861045.3527957797
2009-07-15,453314.8398207426,419424.1302815676,872738.9701023102
2009-07-16,450842.8891571164,426812.28822541237,877655.1773825288
2009-07-17,449276.79547816515,427355.40856027603,876632.2040384412
2009-07-20,448762.8711617589,433462.4843366742,882225.3554984331
2009-07-21,448361.46081000566,434735.3458262682,883096.8066362739
2009-07-22,448157.43171817064,437428.5518693626,885585.9835875332
2009-07-23,447848.02876621485,449595.2668592334,897443.2956254482
2009-07-24,447562.026080668,452865.08477446437,900427.1108551323
2009-07-27,447378.649371922,455114.56059765816,902493.2099695802
2009-07-28,447338.40751487017,453652.6493540406,900991.0568689108
2009-07-29,447232.57533198595,451594.42273777723,898826.9980697632
2009-07-30,447165.7012217641,456543.31438180804,903709.0156035721
2009-07-31,446998.85887902975,456622.00242990255,903620.8613089323
2009-08-03,446974.3565425277,463258.357698977,910232.7142415047
2009-08-04,446793.06079143286,466495.72619488835,913288.7869863212
2009-08-05,446671.14013403654,466231.47059735656,912902.6107313931
2009-08-06,446642.92299455404,462742.7796214521,909385.7026160061
2009-08-07,446622.3228301406,472584.7866034508,919207.1094335914
2009-08-10,446347.55444830656,470187.1514149904,916534.705863297
2009-08-11,446276.47749108076,465415.0125130415,911691.4900041223
2009-08-12,446238.3966347575,471626.15326705575,917864.5499018133
2009-08-13,446076.1715590358,473472.1366869807,919548.3082460165
2009-08-14,445810.1357523799,469059.9246980548,914870.0604504347
2009-08-17,445752.63409537077,457767.7341680527,903520.3682634234
2009-08-18,445661.64750403166,464459.1219947636,910120.7694987953
2009-08-19,445639.1283199191,467368.46962094307,913007.5979408622
2009-08-20,445236.6464268565,473937.04094448686,919173.6873713434
2009-08-21,444215.7069863677,484017.90476733446,928233.6117537022
2009-08-24,443113.8995735049,483458.7929467857,926572.6925202906
2009-08-25,442284.9342042804,487177.18696150184,929462.1211657822
2009-08-26,441770.7323157191,487793.60530358553,929564.3376193047
2009-08-27,441344.4630135894,489919.19930383563,931263.662317425
2009-08-28,440966.1317719817,490247.8712999821,931214.0030719638
2009-08-31,440652.45571139455,485264.88017320633,925917.3358846009
2009-09-01,440598.55965283513,474115.90703457594,914714.4666874111
2009-09-02,440598.55965283513,471715.17678660154,912313.7364394367
2009-09-03,440543.61374905705,477710.54598653316,918254.1597355902
2009-09-04,440397.493211776,483394.1770721078,923791.6702838838
2009-09-08,439813.42414096,489212.83646452427,929026.2606054842
2009-09-09,438865.35985043645,495073.9862715006,933939.346121937
2009-09-10,437608.8887729943,501452.43302190304,939061.3217948973
2009-09-11,436422.58256581426,502156.1829752922,938578.7655411065
2009-09-14,435631.31886437535,505923.9391553402,941555.2580197155
2009-09-15,434783.2815928757,510499.37304234505,945282.6546352208
2009-09-16,434198.5761618912,520693.4535470605,954892.0297089517
2009-09-17,433139.65924075246,519421.1055381894,952560.7647789419
2009-09-18,432704.1934852898,520930.7445092201,953634.9379945099
2009-09-21,432586.95499804616,519520.7784925699,952107.7334906161
2009-09-22,432487.5892763436,522012.43033218384,954500.0196085274
2009-09-23,432296.0779657662,515162.3331980705,947458.4111638367
2009-09-24,432259.4729242623,509011.4504932761,941270.9234175384
2009-09-25,432219.5311842263,505910.9571136236,938130.4882978499
2009-09-28,432154.56799033284,515404.4036707878,947558.9716611207
2009-09-29,431876.0940492451,515467.518212378,947343.6122616231
2009-09-30,431566.1535408795,513561.59557420015,945127.7491150796
2009-10-01,431383.5360172093,499357.55289524794,930741.0889124572
2009-10-02,431379.7681451142,496348.76081717014,927728.5289622843
2009-10-05,431299.99892666936,505053.57853764296,936353.5774643123
2009-10-06,431159.7654104531,511161.678884387,942321.4442948401
2009-10-07,430817.0547340214,512264.8893292546,943081.944063276
2009-10-08,429767.6681859791,519735.61550730467,949503.2836932838
2009-10-09,428896.868119508,523781.8331080079,952678.7012275159
2009-10-12,426824.9943368733,526551.8266666532,953376.8210035264
2009-10-13,426106.49225381017,525767.0111096501,951873.5033634603
2009-10-14,425509.3464322388,535902.602485776,961411.9489180148
2009-10-15,424237.5638974011,537865.6906955242,962103.2545929253
2009-10-16,423681.62871560454,535278.4278810024,958960.056596607
2009-10-19,423253.8690343797,540478.0585193038,963731.9275536835
2009-10-20,422909.12436541915,537041.4980416298,959950.6224070489
2009-10-21,422646.96889695525,533770.4023810029,956417.3712779582
2009-10-22,422553.7981978357,542091.8772777915,964645.6754756272
2009-10-23,422136.16032108665,535764.8740218282,957901.0343429148
2009-10-26,421856.2034943998,530246.7016363144,952102.9051307142
2009-10-27,421784.6817601621,525487.8293884993,947272.5111486614
2009-10-28,421714.61640676856,512202.7889472842,933917.4053540528
2009-10-29,421667.60155805945,523005.2810572386,944672.882615298
2009-10-30,421450.55830702186,509236.66251689196,930687.2208239138
2009-11-02,421255.9555657804,513252.6241121292,934508.5796779096
2009-11-03,421088.6473544538,516972.8957594037,938061.5431138575
2009-11-04,420884.4430986345,516351.10469025373,937235.5477888882
2009-11-05,420499.45480403304,527867.2992568612,948366.7540608943
2009-11-06,419566.6904350221,529172.2496779561,948738.9401129782
2009-11-09,418722.4708971977,542362.2993519604,961084.7702491581
2009-11-10,416458.96755093336,545282.5561738908,961741.5237248242
2009-11-11,414759.0212519765,551077.8389694691,965836.8602214456
2009-11-12,412904.6141434312,545773.5260848105,958678.1402282417
2009-11-13,412813.9174824357,549301.9511446357,962115.8686270714
2009-11-16,412614.385273993,558080.1619511545,970694.5472251475
2009-11-17,411849.62771350145,557734.4743109047,969584.1020244062
2009-11-18,411512.9397290349,556216.3283017278,967729.2680307627
2009-11-19,411327.1332510114,547887.8956668377,959215.0289178491
2009-11-20,411265.44922071695,546854.0179567039,958119.4671774209
2009-11-23,411230.9426470399,553818.277033627,965049.2196806669
2009-11-24,410885.0616682172,553092.7558554709,963977.8175236881
2009-11-25,410680.54386883974,556826.5418643057,967507.0857331455
2009-11-27,410473.57445317507,547353.0969956517,957826.6714488268
2009-11-30,410473.57445317507,549581.0299240947,960054.6043772697
2009-12-01,410283.63394218683,557003.7200680077,967287.3540101945
2009-12-02,409851.9557750821,560205.5808000267,970057.5365751088
2009-12-03,409204.64886933565,555051.7556144595,964256.4044837952
