ticker,rows,trades,load_s,signal_s,sim_s,total_s
GOOGL,5032,3123,0.0012797999997928855,0.0011644000005617272,0.16243169999961538,0.16487589999997
GPC,5032,3050,0.001508099999227852,0.0012260999992577126,0.1620296999999482,0.16476389999843377
GPN,5032,3095,0.0013654000003953115,0.0011826999998447718,0.16275630000018282,0.1653044000004229
GRMN,5032,3066,0.0010772000005090376,0.0011021999998774845,0.16242349999993166,0.1646029000003182
GS,5032,2972,0.001271199999791861,0.0011526999996931409,0.16272740000022168,0.16515129999970668
GWW,5032,3146,0.0012233000006744987,0.0011220999995202874,0.16313549999995303,0.1654809000001478
HAL,5032,2713,0.0015994999994290993,0.0012577999996210565,0.16078530000049795,0.1636425999995481
HAS,5032,3078,0.001104700000723824,0.0010693000003811903,0.16181070000038744,0.16398470000149246
HBAN,5032,2955,0.0011199000000488013,0.0011116999994555954,0.16270319999966887,0.16493479999917326
HCA,3475,2202,0.0015229999999064603,0.0011218999998163781,0.09452779999992345,0.09717269999964628
HD,5032,3185,0.0011127000007036258,0.0010750999999800115,0.16276939999988826,0.1649572000005719
HIG,5032,2938,0.001457700000173645,0.0012139000000388478,0.16214230000059615,0.16481390000080864
HII,3467,2080,0.0012501999999585678,0.0010601999993014033,0.09325039999930596,0.09556079999856593
HLT,2780,1771,0.0009371999994982616,0.0009405999999216874,0.07483510000020033,0.07671289999962028
HOLX,5032,2954,0.0009872000000541448,0.0010593000006338116,0.16773039999952744,0.1697769000002154
HON,5032,3292,0.0015118999999685911,0.0012796999999409309,0.16263719999915338,0.1654287999990629
HPQ,5032,3030,0.0012591000004249508,0.0011919999997189734,0.16247310000017023,0.16492420000031416
HRL,5032,3159,0.0011430000004111207,0.0011585000002014567,0.1641208999999435,0.16642240000055608
HSIC,5032,3088,0.0012507999999797903,0.001131099999838625,0.16534479999972973,0.16772669999954815
HST,5032,2838,0.0011425000002418528,0.001095300000088173,0.16208339999957388,0.1643211999999039
HSY,5032,2973,0.001203699999678065,0.0011436000004323432,0.1625728999997591,0.1649201999998695
HUBB,5032,3116,0.0011230000000068685,0.0011113000000477768,0.16191729999991367,0.1641515999999683
HUM,5032,3075,0.001149499999883119,0.0010943999996015918,0.16305689999990136,0.16530079999938607
IBM,5032,2868,0.0015190999993137666,0.0011911999999938416,0.16206090000014228,0.1647711999994499
ICE,4811,2958,0.0012341000001470093,0.0011710999997376348,0.12962659999993775,0.1320317999998224
IDXX,5032,3118,0.0011145000007672934,0.0010997999997925945,0.16600389999985055,0.16821820000041043
IEX,5032,3228,0.0013641000005009118,0.0011592000000746339,0.16184090000024298,0.16436420000081853
IFF,5032,3045,0.001224700000420853,0.0011449000003267429,0.16483880000032514,0.16720840000107273
ILMN,5032,3093,0.0014556999994965736,0.0012159999996583792,0.16237940000064555,0.1650510999998005
INCY,5032,2692,0.0013496999999915715,0.0011787000003096182,0.16388670000014827,0.16641510000044946
INTC,5032,2856,0.0014735000004293397,0.0012221999995745136,0.16118270000060875,0.1638784000006126
INTU,5032,3378,0.001394599999912316,0.0011724000005415292,0.1628833000004306,0.16545030000088445
IP,5032,2758,0.0012558999997054343,0.0011388000002625631,0.162628300000506,0.16502300000047398
IPG,5032,2832,0.001299700000345183,0.0013693999999304651,0.16407059999983176,0.1667397000001074
IQV,2931,1783,0.0012354999998933636,0.0011369999992894009,0.07917759999963891,0.08155009999882168
IRM,5032,2980,0.0010180999997828621,0.0010832999996637227,0.16129110000019864,0.16339249999964522
ISRG,5032,3262,0.001196199999867531,0.0011295999993308214,0.16307329999926878,0.16539909999846714
IT,5032,3306,0.0011389999999664724,0.0010787999999593012,0.16187079999963316,0.16408859999955894
ITW,5032,3113,0.0013110999998389161,0.0011525999998411862,0.16196710000076564,0.16443080000044574
IVZ,5032,2795,0.0011999000007563154,0.0011187000000063563,0.1613878999996814,0.16370650000044407
J,5032,2962,0.001263199999812059,0.0011356000004525413,0.16194929999983287,0.16434810000009747
JBHT,5032,2959,0.0013441999999486143,0.0011311999996905797,0.16327699999965262,0.1657523999992918
JBL,5032,3013,0.0010722999995778082,0.0010928000001513283,0.16119159999925614,0.16335669999898528
JCI,5032,3003,0.0011256999996476225,0.0010949999996228144,0.1626912000001539,0.16491189999942435
JKHY,5032,3167,0.0011561999999685213,0.0011924000000362867,0.1597805999999764,0.1621291999999812
JNJ,5032,2893,0.0011552000005394802,0.0011217999999644235,0.16288340000028256,0.16516040000078647
JPM,5032,3087,0.0012793000005331123,0.0012901000000056229,0.16232920000038575,0.1648986000009245
K,5032,2892,0.0012926999997944222,0.0011333000002196059,0.16509599999972124,0.16752199999973527
KDP,4191,2579,0.0012085999996997998,0.0010662000004231231,0.11216489999969781,0.11443969999982073
KEY,5032,2818,0.0011010999996869941,0.0010952000002362183,0.16338220000034198,0.1655785000002652
KEYS,2566,1559,0.0011284000001978711,0.0010022999995271675,0.0691703000002235,0.07130099999994854
KIM,5032,2909,0.0011113000000477768,0.0012540999996417668,0.1632198999996035,0.16558529999929306
KKR,3640,2381,0.0011549000000741216,0.0010237999995297287,0.09983910000028118,0.10201779999988503
KLAC,5032,2960,0.0012725999995382153,0.0012396000001899665,0.16265999999995984,0.16517219999968802
KMB,5032,2931,0.0014499000008072471,0.0011693999995259219,0.16253789999973378,0.16515720000006695
KMI,3493,1994,0.001096799999686482,0.0010302999999112217,0.09342350000042643,0.09555060000002413
KMX,5032,2865,0.0013710000002902234,0.0011890000005223555,0.1629947000001266,0.1655547000009392
KO,5032,3158,0.0011488999998618965,0.0010779999993246747,0.16187380000064877,0.16410069999983534
KR,5032,3001,0.0011948999999731313,0.0011162000000695116,0.16500649999943562,0.16731759999947826
L,5032,3238,0.001442700000552577,0.001127799999267154,0.16269869999996445,0.16526919999978418
LDOS,4581,2636,0.0014940999999453197,0.0012409000000843662,0.12363129999994271,0.1263662999999724
LEN,5032,2837,0.0013370999995458988,0.0011722999997800798,0.16235469999992347,0.16486409999924945
LH,5032,3037,0.0014210999997885665,0.0011893000000782195,0.16286180000042805,0.16547220000029483
LHX,5032,3142,0.0012019000005238922,0.0011216000002605142,0.1617974000000686,0.164120900000853
LII,5032,3345,0.0012784000000465312,0.0011709000000337255,0.162746199999674,0.16519549999975425
LIN,5032,3330,0.0011667999997371226,0.0011064999998779967,0.16173259999959555,0.16400589999921067
LKQ,5032,3088,0.0012326000005487003,0.0011338000003888737,0.16282130000035977,0.16518770000129734
LLY,5032,3122,0.0011331000005156966,0.0011075000002165325,0.16229019999991579,0.16453080000064801
LMT,5032,3205,0.0011322000000291155,0.001096500000130618,0.16193079999993643,0.16415950000009616
LNT,5032,3322,0.0012314999994487152,0.0011465000006865012,0.16211909999947238,0.1644970999996076
LOW,5032,3000,0.0011954999999943539,0.0011176999996678205,0.1639127999997072,0.16622599999936938
LRCX,5032,3000,0.0012340000002950546,0.0011543000000528991,0.16270540000004985,0.1650937000003978
LULU,4387,2544,0.001186000000416243,0.001115399999434885,0.11970920000021579,0.12201060000006692
LUV,5032,2640,0.0016100000002552406,0.0012435999997251201,0.1632792000000336,0.16613280000001396
LVS,5032,2683,0.0012464000001273234,0.001153100000010454,0.1618490999999267,0.16424860000006447
LYB,3694,2327,0.0014617000006182934,0.00120249999963562,0.09945630000038364,0.10212050000063755
LYV,4787,2915,0.0013889000001654495,0.001205199999276374,0.12928120000015042,0.13187529999959224
MA,4681,3296,0.001070399999662186,0.0010402999996586004,0.12703140000030544,0.12914209999962623
MAA,5032,3255,0.0014385000004040194,0.0011813999999503721,0.1631655999999566,0.165785500000311
MAR,5032,2950,0.001258399999642279,0.0011531999998624087,0.16237879999971483,0.16479039999921952
MAS,5032,2865,0.0010812999998961459,0.0010947000000669505,0.16183579999960784,0.16401179999957094
MCD,5032,3273,0.0011788000001615728,0.0011307999993732665,0.16236019999996643,0.16466979999950127
MCHP,5032,3012,0.001437199999600125,0.001245299999936833,0.16250880000006873,0.1651912999996057
MCK,5032,3318,0.0013218000003689667,0.001144499999099935,0.16393990000051417,0.16640619999998307
MCO,5032,3351,0.0012214999997013365,0.0012020999993183068,0.16370920000008482,0.16613279999910446
MDLZ,5032,2989,0.0011702000001605484,0.0011228999992454192,0.1624034999995274,0.16469659999893338
MDT,5032,2958,0.001175399999738147,0.0011981999996351078,0.1633151000005455,0.16568869999991875
MET,5032,2969,0.0013644999999087304,0.0011895999996340834,0.16200620000017807,0.16456029999972088
META,3174,2062,0.0012341000001470093,0.0010569999994913815,0.08803640000041923,0.09032750000005763
MGM,5032,2641,0.0010455999999976484,0.0010873999999603257,0.1624805000001288,0.1646135000000868
MHK,5032,2752,0.0015043999992485624,0.001202999999804888,0.1630064000000857,0.16571379999913916
MKC,5032,3123,0.001119799999287352,0.0018112000007022289,0.16277179999997315,0.16570279999996274
MKTX,5032,2912,0.0011032999991584802,0.001080799999726878,0.16340630000013334,0.1655903999990187
MLM,5032,2963,0.00128350000068167,0.0011505000002216548,0.16243559999929857,0.1648696000002019
MMC,5032,3295,0.001408600000104343,0.0011477999996714061,0.16314650000003894,0.1657028999998147
