Date,Cash,Holdings,Total Assets,PnL
2006-01-05,921023.2868093997,90101.03271943331,1011124.319528833,11124.319528833032
2006-01-06,920985.822503522,90703.52484619617,1011689.3473497182,11689.347349718213
2006-01-09,920967.5917868167,91739.13456940651,1012706.7263562232,12706.726356223226
2006-01-10,920967.5917868167,92174.449821949,1013142.0416087657,13142.041608765721
2006-01-11,920927.3415178806,92622.96466320753,1013550.3061810881,13550.30618108809
2006-01-12,920894.2213015109,92104.12438511848,1012998.3456866294,12998.345686629415
2006-01-13,920801.5902602226,91865.76096841693,1012667.3512286395,12667.351228639483
2006-01-17,920762.2790026218,91180.93560296297,1011943.2146055847,11943.21460558474
2006-01-18,920760.0630025417,91008.02795678377,1011768.0909593254,11768.090959325433
2006-01-19,920746.9426908046,91316.92232310772,1012063.8650139123,12063.86501391232
2006-01-20,920662.9288692027,89769.9220585823,1010432.850927785,10432.850927785039
2006-01-23,919959.428742364,90325.73305100203,1010285.1617933661,10285.161793366075
2006-01-24,919276.6943761855,91696.87562075257,1010973.5699969381,10973.56999693811
2006-01-25,918803.4593135864,91909.4740985632,1010712.9334121495,10712.933412149549
2006-01-26,918543.5958997756,93453.89872521162,1011997.4946249872,11997.494624987245
2006-01-27,918273.5835907012,94091.40733617544,1012364.9909268767,12364.990926876664
2006-01-30,917924.9166223556,94383.48691099882,1012308.4035333544,12308.403533354402
2006-01-31,917642.3420002013,94694.52785086632,1012336.8698510677,12336.869851067662
2006-02-01,917310.1428596526,95128.87359040976,1012439.0164500624,12439.016450062394
2006-02-02,917241.1238929778,94367.83369243145,1011608.9575854093,11608.957585409284
2006-02-03,917011.6248428375,94379.55639949441,1011391.1812423319,11391.181242331862
2006-02-06,916718.9753362685,94593.65447112918,1011312.6298073977,11312.629807397723
2006-02-07,916306.1078377515,94578.44268277287,1010884.5505205244,10884.550520524383
2006-02-08,915901.4149754792,95746.68645834923,1011648.1014338285,11648.101433828473
2006-02-09,915762.0432798415,95929.57770779729,1011691.6209876388,11691.620987638831
2006-02-10,915642.173400715,96381.76503294706,1012023.938433662,12023.938433662057
2006-02-13,915577.7256149799,96230.14659932256,1011807.8722143024,11807.87221430242
2006-02-14,915361.6497705728,97465.35759717226,1012827.007367745,12827.007367745042
2006-02-15,915320.153461054,98050.39200693369,1013370.5454679877,13370.545467987657
2006-02-16,915270.1718726903,98653.03884345293,1013923.2107161433,13923.21071614325
2006-02-17,915243.8367229253,98608.29954484105,1013852.1362677664,13852.136267766356
2006-02-21,915187.3945575505,98174.53806233406,1013361.9326198846,13361.93261988461
2006-02-22,915129.7401700765,99325.86399701238,1014455.6041670889,14455.604167088866
2006-02-23,915039.8263126165,98955.00950986147,1013994.8358224779,13994.835822477937
2006-02-24,914892.6039453298,99462.06121948361,1014354.6651648134,14354.6651648134
2006-02-27,914788.2340217382,99910.54191276431,1014698.7759345025,14698.775934502482
2006-02-28,914684.7674442083,98748.14986407757,1013432.9173082858,13432.917308285832
2006-03-01,914547.0049358159,99913.908169806,1014460.9131056219,14460.913105621934
2006-03-02,914521.9263435155,99579.90095636249,1014101.827299878,14101.827299878001
2006-03-03,914485.1569261104,99135.43612009287,1013620.5930462033,13620.593046203256
2006-03-06,914446.5119697601,98850.88377088308,1013297.3957406431,13297.395740643144
2006-03-07,914395.5414011031,98577.84083539248,1012973.3822364956,12973.382236495614
2006-03-08,914332.092677787,98699.9144705832,1013032.0071483701,13032.007148370147
2006-03-09,914284.7570869476,98195.49164965749,1012480.248736605,12480.248736605048
2006-03-10,914115.0556431562,99223.65165776014,1013338.7073009163,13338.707300916314
2006-03-13,914043.7787254602,99654.57148236036,1013698.3502078205,13698.350207820535
2006-03-14,913971.9629867822,101029.76373282075,1015001.726719603,15001.726719602942
2006-03-15,913897.0452078134,101670.02524203062,1015567.070449844,15567.070449844003
2006-03-16,913823.0350931436,101873.34427186847,1015696.379365012,15696.37936501205
2006-03-17,913740.2896559983,102239.46095356345,1015979.7506095618,15979.750609561801
2006-03-20,913619.0970614702,101997.81828349829,1015616.9153449684,15616.915344968438
2006-03-21,913545.3529790193,101225.28068560362,1014770.6336646229,14770.633664622903
2006-03-22,913470.5510266572,102026.73923280835,1015497.2902594656,15497.290259465575
2006-03-23,913419.9997275621,101900.16185560822,1015320.1615831703,15320.161583170295
2006-03-24,913308.0538581163,102266.37721154094,1015574.4310696572,15574.431069657207
2006-03-27,913185.9927705079,102241.16843083501,1015427.1612013429,15427.16120134294
2006-03-28,913053.4229673892,101664.64148077369,1014718.0644481629,14718.064448162913
2006-03-29,912854.0048189908,102684.33216965199,1015538.3369886428,15538.336988642812
2006-03-30,912768.6929941922,102665.26010924578,1015433.953103438,15433.95310343802
2006-03-31,912716.3508282453,102652.04766270518,1015368.3984909505,15368.398490950465
2006-04-03,912542.8413744718,102761.12012922764,1015303.9615036994,15303.961503699422
2006-04-04,912445.2687612325,103441.38976293802,1015886.6585241705,15886.658524170518
2006-04-05,912361.4287586957,104504.7385289967,1016866.1672876924,16866.167287692428
2006-04-06,912277.688756302,104131.1697562933,1016408.8585125953,16408.858512595296
2006-04-07,912193.9887562543,103250.92314481735,1015444.9119010717,15444.911901071668
2006-04-10,911926.926098898,103100.39631062746,1015027.3224095255,15027.322409525514
2006-04-11,911616.7901094705,102596.86564180255,1014213.655751273,14213.655751273036
2006-04-12,910311.4276769906,103974.60676118731,1014286.034438178,14286.034438177943
2006-04-13,909095.4010623246,105236.52194470167,1014331.9230070263,14331.923007026315
2006-04-17,907824.0125487596,106159.33701962233,1013983.3495683819,13983.349568381906
2006-04-18,906492.8277946264,109410.9787388444,1015903.8065334707,15903.80653347075
2006-04-19,906315.641540125,109966.95990607142,1016282.6014461964,16282.601446196437
2006-04-20,906108.455987528,110466.16448521614,1016574.6204727441,16574.620472744107
2006-04-21,905998.9373927861,110194.51190885901,1016193.4493016452,16193.44930164516
2006-04-24,905844.2194896489,110304.80422723293,1016149.0237168819,16149.023716881871
